OrthoID,seq_id,sample,gender,species,chrom_num,chrom_name,Current_TMM,positive_robust_TMM
OG0014695,T_conf_DN1559_c0_g1_i8.p1.p1,T_conf_F2,Female,T_conf,LG4,Autosome,24.90603097,1.3947397495462421
OG0013527,T_conf_DN155_c0_g1_i2.p1.p1,T_conf_F2,Female,T_conf,LG2,"LG2,Neo-X",97.16091363,5.219660164372236
OG0015077,T_conf_DN1560_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG4,Autosome,35.4265125,1.9516571936897575
OG0015080,T_conf_DN1560_c0_g1_i1.p2.p1,T_conf_F2,Female,T_conf,LG4,Autosome,43.74755147,2.392143852268682
OG0015025,T_conf_DN1562_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LGX,X,26.00797375,1.4530727407577195
OG0015024,T_conf_DN1562_c0_g1_i1.p2.p1,T_conf_F2,Female,T_conf,LGX,X,17.62705668,1.009416345288228
OG0013778,T_conf_DN15637_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,0.0,0.07630170352919452
OG0009897,T_conf_DN1563_c0_g2_i1.p1.p1,T_conf_F2,Female,T_conf,LG2,"LG2,Neo-X",0.0,0.07630170352919452
OG0011468,T_conf_DN1564_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,26.0893818,1.4573821977924974
OG0013805,T_conf_DN1564_c0_g1_i11.p2.p1,T_conf_F2,Female,T_conf,LG9,Autosome,11.9507187,0.7089308940375604
OG0014079,T_conf_DN1564_c0_g1_i11.p4.p1,T_conf_F2,Female,T_conf,LG9,Autosome,28.84585791,1.6033003884804722
OG0014078,T_conf_DN1564_c0_g1_i11.p5.p1,T_conf_F2,Female,T_conf,LG9,Autosome,9.420590694,0.5749947791896454
OG0013407,T_conf_DN15651_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG8,Autosome,0.0,0.07630170352919452
OG0013704,T_conf_DN1565_c0_g1_i6.p1.p1,T_conf_F2,Female,T_conf,LG4,Autosome,21.33548937,1.2057277830873172
OG0011036,T_conf_DN15666_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,4.184212,0.29779923157956945
OG0012613,T_conf_DN15683_c0_g1_i2.p1.p1,T_conf_F2,Female,T_conf,LG2,"LG2,Neo-X",12.83421805,0.7557002551643659
OG0014254,T_conf_DN1568_c0_g2_i3.p1.p1,T_conf_F2,Female,T_conf,LG8,Autosome,5.451629636,0.3648918820909322
OG0011677,T_conf_DN1568_c0_g2_i3.p2.p1,T_conf_F2,Female,T_conf,LG8,Autosome,42.23666963,2.3121630595325104
OG0012789,T_conf_DN1568_c0_g3_i1.p1.p1,T_conf_F2,Female,T_conf,LG7,Autosome,26.33455823,1.4703609792646635
OG0012082,T_conf_DN15691_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG7,Autosome,63.99720309,3.464089484495555
OG0010496,T_conf_DN15691_c0_g1_i1.p2.p1,T_conf_F2,Female,T_conf,LG7,Autosome,2.002320437,0.18229753432367785
OG0014983,T_conf_DN15691_c0_g1_i5.p3.p1,T_conf_F2,Female,T_conf,LG7,Autosome,16.17954189,0.9327899822355534
OG0010870,T_conf_DN15699_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG4,Autosome,0.0,0.07630170352919452
OG0011566,T_conf_DN1571_c0_g1_i4.p2.p1,T_conf_F2,Female,T_conf,LG10,Autosome,7.615280732,0.47942799291119764
OG0011565,T_conf_DN1571_c0_g1_i6.p1.p1,T_conf_F2,Female,T_conf,LG10,Autosome,23.48190647,1.3193515865215253
OG0011618,T_conf_DN15721_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,0.143399084,0.08389274877993425
OG0013388,T_conf_DN15738_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG8,Autosome,10.90241004,0.6534371052850304
OG0012860,T_conf_DN1573_c1_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG6,Autosome,12.67964501,0.7475176998198394
OG0010645,T_conf_DN15748_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,24.35037635,1.3653253401473469
OG0014435,T_conf_DN1574_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG4,Autosome,23.77674681,1.3349594014409252
OG0014434,T_conf_DN1574_c0_g1_i1.p2.p1,T_conf_F2,Female,T_conf,LG4,Autosome,12.75148781,0.7513208060219673
OG0012851,T_conf_DN15790_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG3,Autosome,0.0,0.07630170352919452
OG0011338,T_conf_DN1580_c0_g1_i7.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,7.176513011,0.4562011665482417
OG0013533,T_conf_DN15822_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,15.81434517,0.9134577469826302
OG0011903,T_conf_DN1585_c0_g1_i2.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,23.0947999,1.2988595205489935
OG0012823,T_conf_DN15885_c0_g1_i2.p1.p1,T_conf_F2,Female,T_conf,LG8,Autosome,15.96881499,0.9216348382218853
OG0011795,T_conf_DN1588_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,21.05200986,1.1907213707167368
OG0010783,T_conf_DN1589_c0_g1_i9.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,103.520001,5.556287976995344
OG0012314,T_conf_DN15904_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,2.394407487,0.20305324946324627
OG0014432,T_conf_DN1591_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG7,Autosome,22.26117808,1.2547305011640162
OG0012410,T_conf_DN1591_c0_g1_i1.p2.p1,T_conf_F2,Female,T_conf,LG7,Autosome,16.4345018,0.9462866668722177
OG0015179,T_conf_DN1594_c0_g1_i14.p3.p1,T_conf_F2,Female,T_conf,LGX,X,0.260261683,0.09007904545898449
OG0014242,T_conf_DN15952_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG4,Autosome,10.06824791,0.6092794837810924
OG0013746,T_conf_DN15952_c0_g1_i1.p2.p1,T_conf_F2,Female,T_conf,LG4,Autosome,86.48509084,4.6545194980080895
OG0013117,T_conf_DN1596_c1_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG8,Autosome,0.0,0.07630170352919452
OG0014822,T_conf_DN1597_c1_g1_i1.p2.p1,T_conf_F2,Female,T_conf,LG5,Autosome,16.31922551,0.9401843438355699
OG0010795,T_conf_DN1597_c1_g1_i1.p3.p1,T_conf_F2,Female,T_conf,LG3,Autosome,5.272837442,0.35542724956138944
OG0013009,T_conf_DN1598_c0_g1_i10.p1.p1,T_conf_F2,Female,T_conf,LG6,Autosome,14.88906905,0.8644768699754322
OG0010586,T_conf_DN1598_c0_g1_i11.p2.p1,T_conf_F2,Female,T_conf,LG6,Autosome,24.22367615,1.3586182753276177
OG0014253,T_conf_DN1599_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,54.75796464,2.9749965614450553
OG0011627,T_conf_DN159_c1_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG8,Autosome,58.60773892,3.1787901279689104
OG0015141,T_conf_DN15_c0_g1_i13.p2.p1,T_conf_F2,Female,T_conf,LG6,Autosome,46.01116316,2.5119715268226797
OG0014206,T_conf_DN16009_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,0.0,0.07630170352919452
